time_s,eta_a,eta_b,visible_a,visible_b,common_visibility,singles_a_hz,singles_b_hz,true_coincidence_hz,accepted_true_hz,accidental_coincidence_hz,coincidence_hz,qber,sifted_rate_bps,key_rate_bps,cumulative_rate_integral_bits
-102.0,0.0027365064563929,0.00014501725019629708,True,True,True,27565.064563929,1650.1725019629707,3.9684064145051154,3.8948651856457155,0.04548644710615404,3.9403516327518697,0.03498075873310967,1.9701758163759349,1.0391160436199127,21.239027902700283
-100.0,0.0028129423663266783,0.00015210832557982978,True,True,True,28329.42366326678,1721.0832557982978,4.278719532945152,4.1994276813728515,0.04875656412966349,4.248184245502515,0.03494937165368563,2.1240921227512577,1.1209843383106604,23.399128284630855
-98.0,0.002887607080916978,0.00015949004871548472,True,True,True,29076.070809169778,1794.9004871548473,4.605445940066274,4.520099300004398,0.052187848110775516,4.572287148115174,0.034919691873756285,2.286143574057587,1.2072083077433655,25.727320930684883
-96.0,0.0029600118869689386,0.00016717408997611518,True,True,True,29800.118869689388,1871.7408997611517,4.948372935225159,4.856671282596811,0.0557772180171062,4.912448500613918,0.03489161166531686,2.456224250306959,1.2977336432389268,28.232262881667175
-94.0,0.0030296489593329744,0.0001751726695294502,True,True,True,30496.489593329745,1951.726695294502,5.3071169594347785,5.20876717815461,0.05951984719011756,5.268287025344728,0.03486503161765537,2.634143512672364,1.392460841106804,30.922457366012907
-92.0,0.0030959976465908543,0.00018349858441356112,True,True,True,31159.97646590854,2034.9858441356112,5.681111854971384,5.575831320806538,0.06340905857491026,5.639240379381448,0.034839859910146015,2.819620189690724,1.491242064406206,33.80616027152592
-90.0,0.003158531827608786,0.00019216523678280484,True,True,True,31785.318276087863,2121.652367828048,6.069600165384678,5.957120291041145,0.06743625249627327,6.024556543537418,0.03481601165705778,3.012278271768709,1.5938788057541549,36.89128114168628
-88.0,0.0032167282312336744,0.00020118666335033807,True,True,True,32367.282312336745,2211.8666335033804,6.4716281974673775,6.351698069186339,0.07159087398053388,6.423288943166873,0.03479340831654024,3.2116444715834365,1.7001205428470394,40.185280490287475
-86.0,0.0032700755503726055,0.00021057756604776434,True,True,True,32900.75550372605,2305.775660477643,6.886045501897666,6.758435525676405,0.07586042585227863,6.834295951528683,0.03477197715687477,3.4171479757643417,1.8096645614428226,43.695065594577336
-84.0,0.0033180841207513774,0.00022035334391650726,True,True,True,33380.841207513775,2403.5334391650727,7.3115093140382985,7.176014779555651,0.08023053256090332,7.256245312116554,0.034751650773885895,3.628122656058277,1.9221570902792846,47.426887246299444
-82.0,0.0033602958784364058,0.0002305301262378736,True,True,True,33802.958784364055,2505.301262378736,7.7464943305255085,7.602938793890719,0.08468505792115018,7.687623851811869,0.0347323666541145,3.8438119259059347,2.037195848697693,51.38624018527642
-80.0,0.0033962942637680575,0.00024112480689844002,True,True,True,34162.94263768058,2611.2480689844,8.189307985213524,8.037546368626227,0.08920627773841706,8.126752646364645,0.034714066778974935,4.063376323182323,2.154334051746339,55.57777008572045
-78.0,0.0034257137077081993,0.00025215507997681076,True,True,True,34457.13707708199,2721.5507997681075,8.63811113944818,8.478032447432883,0.09377510574062373,8.571807553173507,0.034696697265659375,4.285903776586753,2.2730858518010266,60.00518998926782
-76.0,0.0034482483240884914,0.00026363947652338117,True,True,True,34682.48324088491,2836.3947652338115,9.090943830853162,8.92247338932554,0.09837136850572228,9.020844757831263,0.03468020804103086,4.5104223789156315,2.392933124037877,64.67120896510673
-74.0,0.0034636594410092036,0.000275597402488458,True,True,True,34836.59441009204,2955.97402488458,9.545755450467611,9.368856586567794,0.10297412235024848,9.471830708918043,0.03466455254516559,4.735915354459022,2.51333343035397,69.57747551949858
