time_s,generated_a_bits,generated_b_bits,delivered_bits,delivered_step_bits,pool_a_bits,pool_b_bits
36.0,1713435.6523313066,413078.9355401841,413078.9355401841,20915.64901943953,1300356.7167911225,0.0
38.0,1716627.3090286956,434720.1399449189,434720.1399449189,21641.20440473483,1281907.1690837767,0.0
40.0,1719594.703079469,457080.1312953368,457080.1312953368,22359.9913504179,1262514.5717841322,0.0
42.0,1722347.8090582197,480148.19148681615,480148.19148681615,23068.060191479337,1242199.6175714035,0.0
44.0,1724896.2144237375,503909.38307664945,503909.38307664945,23761.191589833295,1220986.831347088,0.0
46.0,1727249.1331777466,528344.314046826,528344.314046826,24434.93097017653,1198904.8191309206,0.0
48.0,1729415.4195735329,553428.9472437336,553428.9472437336,25084.633196907584,1175986.4723297993,0.0
50.0,1731403.581777027,579134.4648512846,579134.4648512846,25705.517607551068,1152269.1169257425,0.0
52.0,1733221.79539932,605427.197925245,605427.197925245,26292.733073960408,1127794.597474075,0.0
54.0,1734877.9168338533,632268.6301773414,632268.6301773414,26841.43225209636,1102609.286656512,0.0
56.0,1736379.4963438953,659615.4838055084,659615.4838055084,27346.85362816695,1076764.012538387,0.0
58.0,1737733.7908565872,687419.8932117991,687419.8932117991,27804.40940629074,1050313.897644788,0.0
60.0,1738947.7764290308,715629.669963026,715629.669963026,28209.776751226862,1023318.1064660049,0.0
62.0,1740028.1603597647,744188.6594076187,744188.6594076187,28558.989444592735,995839.500952146,0.0
64.0,1740981.3929256971,773037.1860881798,773037.1860881798,28848.52668056113,967944.2068375173,0.0
66.0,1741813.6787302813,802112.5816474381,802112.5816474381,29075.395559258293,939701.0970828432,0.0
68.0,1742530.9876535558,831349.7855125649,831349.7855125649,29237.203865126823,911181.2021409909,0.0
70.0,1743139.0653987487,860682.0054733994,860682.0054733994,29332.21996083448,882457.0599253493,0.0
72.0,1743643.443633554,890041.4225573229,890041.4225573229,29359.417083923472,853602.0210762311,0.0
74.0,1744049.4497270358,919359.9225393768,919359.9225393768,29318.49998205388,824689.527187659,0.0
76.0,1744362.2160854626,948569.8351622046,948569.8351622046,29209.912622827804,795792.380923258,0.0
78.0,1744586.6890923092,977604.6617713791,977604.6617713791,29034.826609174488,766982.0273209302,0.0
80.0,1744727.6376592342,1006399.7726256242,1006399.7726256242,28795.11085424514,738327.86503361,0.0
82.0,1744789.661396118,1034893.0565764224,1034893.0565764224,28493.283950798213,709896.6048196957,0.0
84.0,1744801.5066763526,1063025.5080201647,1063025.5080201647,28132.451443742262,681775.9986561879,0.0
86.0,1744801.5066763526,1090741.7388473016,1090741.7388473016,27716.230827136897,654059.767829051,0.0
88.0,1744801.5066763526,1117990.406348907,1117990.406348907,27248.66750160535,626811.1003274457,0.0
90.0,1744801.5066763526,1144724.5514765917,1144724.5514765917,26734.14512768481,600076.9551997609,0.0
92.0,1744801.5066763526,1170901.845274647,1170901.845274647,26177.293798055267,573899.6614017056,0.0
94.0,1744801.5066763526,1196484.7445222894,1196484.7445222894,25582.899247642374,548316.7621540632,0.0
96.0,1744801.5066763526,1221440.560482121,1221440.560482121,24955.8159598317,523360.9461942315,0.0
98.0,1744801.5066763526,1245741.4470348463,1245741.4470348463,24300.88655272522,499060.0596415063,0.0
100.0,1744801.5066763526,1269364.316322801,1269364.316322801,23622.869287954643,475437.19035355165,0.0
102.0,1744801.5066763526,1292290.6913036047,1292290.6913036047,22926.374980803812,452510.81537274783,0.0
104.0,1744801.5066763526,1314506.5053472167,1314506.5053472167,22215.814043611987,430295.00132913585,0.0
106.0,1744801.5066763526,1336001.8592429245,1336001.8592429245,21495.353895707754,408799.6474334281,0.0
108.0,1744801.5066763526,1356770.7457872694,1356770.7457872694,20768.886544344947,388030.76088908315,0.0
110.0,1744801.5066763526,1376810.751582151,1376810.751582151,20040.00579488161,367990.75509420154,0.0
112.0,1744801.5066763526,1396122.7448710478,1396122.7448710478,19311.993288896745,348678.7618053048,0.0
114.0,1744801.5066763526,1414710.5572645573,1414710.5572645573,18587.81239350955,330090.94941179524,0.0
116.0,1744801.5066763526,1432580.6661306783,1432580.6661306783,17870.10886612092,312220.8405456743,0.0
118.0,1744801.5066763526,1449741.883315947,1449741.883315947,17161.217185268644,295059.6233604057,0.0
120.0,1744801.5066763526,1466205.0547736653,1466205.0547736653,16463.17145771836,278596.4519026873,0.0
122.0,1744801.5066763526,1481982.7746452093,1481982.7746452093,15777.719871544046,262818.73203114327,0.0
124.0,1744801.5066763526,1497089.1163978863,1497089.1163978863,15106.341752676992,247712.39027846628,0.0
126.0,1744801.5066763526,1511539.3827854297,1511539.3827854297,14450.266387543408,233262.12389092287,0.0
128.0,1744801.5066763526,1525349.8756733811,1525349.8756733811,13810.492887951434,219451.63100297144,0.0
130.0,1744801.5066763526,1538537.686162612,1538537.686162612,13187.81048923079,206263.82051374065,0.0
132.0,1744801.5066763526,1551120.5049459983,1551120.5049459983,12582.818783386378,193681.00173035427,0.0
134.0,1744801.5066763526,1563116.452438001,1563116.452438001,11995.947492002742,181685.05423835153,0.0
136.0,1744801.5066763526,1574543.9279144758,1574543.9279144758,11427.475476474734,170257.5787618768,0.0
138.0,1744801.5066763526,1585421.4766790892,1585421.4766790892,10877.548764613457,159380.02999726334,0.0
140.0,1744801.5066763526,1595767.6741215396,1595767.6741215396,10346.197442450328,149033.832554813,0.0
142.0,1744801.5066763526,1605601.0254399588,1605601.0254399588,9833.351318419212,139200.4812363938,0.0
144.0,1744801.5066763526,1614939.8797547107,1614939.8797547107,9338.854314751923,129861.62692164187,0.0
146.0,1744801.5066763526,1623802.3573335926,1623802.3573335926,8862.477578881895,120999.14934275998,0.0
148.0,1744801.5066763526,1632206.2886706183,1632206.2886706183,8403.931337025715,112595.21800573426,0.0
150.0,1744801.5066763526,1640169.1642047293,1640169.1642047293,7962.875534110935,104632.34247162333,0.0
152.0,1744801.5066763526,1647708.0935246844,1647708.0935246844,7538.929319955176,97093.41315166815,0.0
154.0,1744801.5066763526,1654839.7729768546,1654839.7729768546,7131.679452170152,89961.733699498,0.0
156.0,1744801.5066763526,1661580.4606695077,1661580.4606695077,6740.687692653155,83221.04600684484,0.0
158.0,1744801.5066763526,1667945.9579470805,1667945.9579470805,6365.497277572751,76855.5487292721,0.0
160.0,1744801.5066763526,1673951.5964883221,1673951.5964883221,6005.638541241642,70849.91018803045,0.0
162.0,1744801.5066763526,1679612.2302611063,1679612.2302611063,5660.633772784146,65189.276415246306,0.0
164.0,1744801.5066763526,1684942.2316427298,1684942.2316427298,5330.001381623559,59859.27503362275,0.0
166.0,1744801.5066763526,1689955.4910866648,1689955.4910866648,5013.259443935007,54846.01558968774,0.0
168.0,1744801.5066763526,1694665.4197843461,1694665.4197843461,4709.928697681287,50136.08689200645,0.0
170.0,1744801.5066763526,1699084.9548333222,1699084.9548333222,4419.535048976075,45716.55184303038,0.0
172.0,1744801.5066763526,1703226.5664807793,1703226.5664807793,4141.611647457117,41574.94019557326,0.0
174.0,1744801.5066763526,1707102.26706411,1707102.26706411,3875.7005833305884,37699.23961224267,0.0
176.0,1744801.5066763526,1710723.621317925,1710723.621317925,3621.3542538150214,34077.88535842765,0.0
178.0,1744801.5066763526,1714101.7577599327,1714101.7577599327,3378.13644200773,30699.74891641992,0.0
180.0,1744801.5066763526,1717247.3809066748,1717247.3809066748,3145.6231467421167,27554.125769677805,0.0
182.0,1744801.5066763526,1720170.7841045198,1720170.7841045198,2923.4031978449784,24630.722571832826,0.0
184.0,1744801.5066763526,1722881.8627918796,1722881.8627918796,2711.0786873598117,21919.643884473015,0.0
186.0,1744801.5066763526,1725390.128035654,1725390.128035654,2508.265243774513,19411.378640698502,0.0
188.0,1744801.5066763526,1727704.720208739,1727704.720208739,2314.5921730848495,17096.786467613652,0.0
190.0,1744801.5066763526,1729834.4226963469,1729834.4226963469,2129.702487607952,14967.0839800057,0.0
192.0,1744801.5066763526,1731787.6755372025,1731787.6755372025,1953.2528408556245,13013.831139150076,0.0
194.0,1744801.5066763526,1733572.5889216287,1733572.5889216287,1784.9133844261523,11228.917754723923,0.0
196.0,1744801.5066763526,1735196.9564824032,1735196.9564824032,1624.3675607745536,9604.55019394937,0.0
198.0,1744801.5066763526,1736668.2683262809,1736668.2683262809,1471.3118438776582,8133.2383500717115,0.0
200.0,1744801.5066763526,1737993.72376443,1737993.72376443,1325.4554381491616,6807.78291192255,0.0
202.0,1744801.5066763526,1739180.2437089423,1739180.2437089423,1186.5199445122853,5621.2629674102645,0.0
204.0,1744801.5066763526,1740234.4827102066,1740234.4827102066,1054.23900126433,4567.0239661459345,0.0
206.0,1744801.5066763526,1741162.8406164446,1741162.8406164446,928.3579062379431,3638.6660599079914,0.0
208.0,1744801.5066763526,1741971.473842233,1741971.473842233,808.6332257883623,2830.032834119629,0.0
210.0,1744801.5066763526,1742666.3062375197,1742666.3062375197,694.832395286765,2135.200438832864,0.0
212.0,1744801.5066763526,1743253.0395525652,1743253.0395525652,586.7333150454797,1548.4671237873845,0.0
214.0,1744801.5066763526,1743737.163497538,1743737.163497538,484.1239449728746,1064.3431788145099,0.0
216.0,1744801.5066763526,1744123.9653982294,1744123.9653982294,386.8019006913528,677.5412781231571,0.0
218.0,1744801.5066763526,1744418.5394516091,1744418.5394516091,294.57405337970704,382.96722474345006,0.0
220.0,1744801.5066763526,1744625.7955868072,1744625.7955868072,207.25613519805484,175.71108954539523,0.0
222.0,1744801.5066763526,1744750.4679386066,1744750.4679386066,124.67235179943964,51.038737745955586,0.0
224.0,1744801.5066763526,1744797.1229417566,1744797.1229417566,46.65500314999372,4.383734595961869,0.0
226.0,1744801.5066763526,1744801.5066763526,1744801.5066763526,4.383734595961869,0.0,0.0
228.0,1744801.5066763526,1744801.5066763526,1744801.5066763526,0.0,0.0,0.0
230.0,1744801.5066763526,1744801.5066763526,1744801.5066763526,0.0,0.0,0.0
232.0,1744801.5066763526,1744801.5066763526,1744801.5066763526,0.0,0.0,0.0
