time_s,generated_a_bits,generated_b_bits,delivered_bits,delivered_step_bits,pool_a_bits,pool_b_bits
32.0,1619395.7312605756,384101.8701896101,384101.8701896101,20107.62549224368,1235293.8610709654,0.0
34.0,1621967.7754566974,414868.93946683244,414868.93946683244,30767.069277222326,1207098.835989865,0.0
36.0,1623333.7819240452,452994.3732702945,452994.3732702945,38125.433803462074,1170339.4086537506,0.0
38.0,1625528.533925916,483506.63862991275,483506.63862991275,30512.265359618235,1142021.8952960032,0.0
40.0,1627465.5406801505,508243.1125200737,508243.1125200737,24736.473890160967,1119222.4281600767,0.0
42.0,1628793.7577076575,531170.1466786745,531170.1466786745,22927.034158600785,1097623.611028983,0.0
44.0,1630709.84891251,554683.8047977017,554683.8047977017,23513.658119027154,1076026.0441148086,0.0
46.0,1632954.769415461,578833.8460476364,578833.8460476364,24150.0412499347,1054120.9233678246,0.0
48.0,1634450.9874506665,606282.1778294789,606282.1778294789,27448.331781842513,1028168.8096211876,0.0
50.0,1634718.3726125523,630351.4749715924,630351.4749715924,24069.29714211356,1004366.8976409598,0.0
52.0,1635579.4840063718,652291.4571907073,652291.4571907073,21939.9822191149,983288.0268156645,0.0
54.0,1637231.19194361,680246.5441981695,680246.5441981695,27955.087007462163,956984.6477454406,0.0
56.0,1638889.9166248804,706041.117192376,706041.117192376,25794.572994206566,932848.7994325043,0.0
58.0,1641364.8266695472,731200.3849132848,731200.3849132848,25159.26772090874,910164.4417562624,0.0
60.0,1643866.9100592171,761586.9749125952,761586.9749125952,30386.58999931044,882279.9351466219,0.0
62.0,1644762.2115420715,793678.4349625384,793678.4349625384,32091.460049943184,851083.7765795331,0.0
64.0,1644858.7719187916,819953.3160742179,819953.3160742179,26274.881111679482,824905.4558445737,0.0
66.0,1645465.2196365898,845926.3924725407,845926.3924725407,25973.076398322824,799538.827164049,0.0
68.0,1646172.9225381375,869507.7093755488,869507.7093755488,23581.31690300803,776665.2131625888,0.0
70.0,1646482.455534755,889826.711496443,889826.711496443,20319.002120894263,756655.744038312,0.0
72.0,1646594.1729709026,913614.6771264593,913614.6771264593,23787.96563001629,732979.4958444433,0.0
74.0,1647138.7266190993,935619.6462681455,935619.6462681455,22004.96914168622,711519.0803509537,0.0
76.0,1648374.4718729157,957641.056995052,957641.056995052,22021.4107269065,690733.4148778637,0.0
78.0,1649065.6634785358,975819.8560257433,975819.8560257433,18178.79903069127,673245.8074527925,0.0
80.0,1649526.5145929526,996156.658282743,996156.658282743,20336.802256999654,653369.8563102096,0.0
82.0,1649987.3657073693,1029742.0433830908,1029742.0433830908,33585.385100347805,620245.3223242785,0.0
84.0,1650509.4922611075,1058730.1672995875,1058730.1672995875,28988.123916496756,591779.32496152,0.0
86.0,1651031.6188148458,1081445.262791738,1081445.262791738,22715.0954921504,569586.3560231079,0.0
88.0,1651099.3484435494,1101450.169709076,1101450.169709076,20004.906917338027,549649.1787344734,0.0
90.0,1651167.078072253,1119475.060963387,1119475.060963387,18024.89125431096,531692.017108866,0.0
92.0,1651167.078072253,1134378.0392556745,1134378.0392556745,14902.97829228756,516789.03881657845,0.0
94.0,1651167.078072253,1149940.8226282375,1149940.8226282375,15562.783372563077,501226.2554440154,0.0
96.0,1651167.078072253,1172133.7485925215,1172133.7485925215,22192.92596428399,479033.3294797314,0.0
98.0,1651167.078072253,1200197.4800065502,1200197.4800065502,28063.731414028676,450969.5980657027,0.0
100.0,1651167.078072253,1227574.962452736,1227574.962452736,27377.48244618578,423592.11561951693,0.0
102.0,1651167.078072253,1255683.3240746371,1255683.3240746371,28108.36162190116,395483.7539976158,0.0
104.0,1651167.078072253,1280928.586220404,1280928.586220404,25245.262145766756,370238.491851849,0.0
106.0,1651276.4656185152,1299117.0096585432,1299117.0096585432,18188.42343813926,352159.455959972,0.0
108.0,1651385.8531647774,1322217.3067795415,1322217.3067795415,23100.29712099838,329168.54638523585,0.0
110.0,1651385.8531647774,1345212.8420748466,1345212.8420748466,22995.535295305075,306173.0110899308,0.0
112.0,1651385.8531647774,1366217.1874104808,1366217.1874104808,21004.345335634192,285168.6657542966,0.0
114.0,1651385.8531647774,1383695.1692904565,1383695.1692904565,17477.981879975647,267690.68387432094,0.0
116.0,1651385.8531647774,1396871.4543079976,1396871.4543079976,13176.285017541144,254514.3988567798,0.0
118.0,1651385.8531647774,1409333.645271154,1409333.645271154,12462.190963156288,242052.2078936235,0.0
120.0,1651385.8531647774,1423178.7634779247,1423178.7634779247,13845.118206770858,228207.08968685265,0.0
122.0,1651385.8531647774,1438570.6333247244,1438570.6333247244,15391.869846799644,212815.219840053,0.0
124.0,1651385.8531647774,1452968.1613361647,1452968.1613361647,14397.5280114403,198417.6918286127,0.0
126.0,1651385.8531647774,1467635.618209922,1467635.618209922,14667.456873757299,183750.2349548554,0.0
128.0,1651385.8531647774,1480359.4304908235,1480359.4304908235,12723.812280901475,171026.42267395393,0.0
130.0,1651385.8531647774,1488052.4486092373,1488052.4486092373,7693.018118413864,163333.40455554007,0.0
132.0,1651385.8531647774,1497366.3033055323,1497366.3033055323,9313.854696294991,154019.54985924507,0.0
134.0,1651385.8531647774,1507179.7232281966,1507179.7232281966,9813.419922664296,144206.12993658078,0.0
136.0,1651385.8531647774,1515884.6367085713,1515884.6367085713,8704.91348037473,135501.21645620605,0.0
138.0,1651385.8531647774,1522477.9067071236,1522477.9067071236,6593.269998552278,128907.94645765377,0.0
140.0,1651385.8531647774,1528172.1476822176,1528172.1476822176,5694.240975094028,123213.70548255974,0.0
142.0,1651385.8531647774,1536051.6663301317,1536051.6663301317,7879.518647914054,115334.18683464569,0.0
144.0,1651385.8531647774,1544908.4875041929,1544908.4875041929,8856.821174061159,106477.36566058453,0.0
146.0,1651385.8531647774,1554563.8669497275,1554563.8669497275,9655.379445534665,96821.98621504987,0.0
148.0,1651385.8531647774,1562398.4801506675,1562398.4801506675,7834.613200939959,88987.37301410991,0.0
150.0,1651385.8531647774,1568669.0441938278,1568669.0441938278,6270.564043160295,82716.80897094961,0.0
152.0,1651385.8531647774,1575087.6553358173,1575087.6553358173,6418.611141989473,76298.19782896014,0.0
154.0,1651385.8531647774,1580786.1119641045,1580786.1119641045,5698.456628287211,70599.74120067293,0.0
156.0,1651385.8531647774,1585161.605994738,1585161.605994738,4375.494030633476,66224.24717003945,0.0
158.0,1651385.8531647774,1590249.0868406156,1590249.0868406156,5087.480845877668,61136.766324161785,0.0
160.0,1651385.8531647774,1595530.5566090131,1595530.5566090131,5281.46976839751,55855.296555764275,0.0
162.0,1651385.8531647774,1600143.2388809547,1600143.2388809547,4612.682271941565,51242.61428382271,0.0
164.0,1651385.8531647774,1603406.7507254682,1603406.7507254682,3263.511844513472,47979.10243930924,0.0
166.0,1651385.8531647774,1605544.403212549,1605544.403212549,2137.652487080777,45841.44995222846,0.0
168.0,1651385.8531647774,1610325.2528139397,1610325.2528139397,4780.849601390772,41060.60035083769,0.0
170.0,1651385.8531647774,1615751.9024953058,1615751.9024953058,5426.649681366049,35633.95066947164,0.0
172.0,1651385.8531647774,1619771.6472800586,1619771.6472800586,4019.7447847528383,31614.205884718802,0.0
