time_s,eta_a,eta_b,visible_a,visible_b,common_visibility,singles_a_hz,singles_b_hz,true_coincidence_hz,accepted_true_hz,accidental_coincidence_hz,coincidence_hz,qber,sifted_rate_bps,key_rate_bps,cumulative_rate_integral_bits
-190.0,0.0008974836852156516,0.0,True,False,False,9174.836852156515,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-188.0,0.0007682841994762814,0.0,True,False,False,7882.841994762814,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-186.0,0.0006729949449857946,0.0,True,False,False,6929.949449857946,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-184.0,0.0003035481892699399,0.0,True,False,False,3235.481892699399,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-182.0,0.0006119543939770432,0.0,True,False,False,6319.543939770432,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-180.0,0.0012359855123669087,0.0,True,False,False,12559.855123669087,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-178.0,0.0008961297099581138,0.0,True,False,False,9161.29709958114,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-176.0,0.0007694057063756366,0.0,True,False,False,7894.057063756366,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-174.0,0.0008506420054017834,0.0,True,False,False,8706.420054017834,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-172.0,0.0009142280226488749,0.0,True,False,False,9342.280226488749,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-170.0,0.0008171003932832192,0.0,True,False,False,8371.003932832191,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-168.0,0.0006987416772921126,0.0,True,False,False,7187.416772921126,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-166.0,0.0008318370734927205,0.0,True,False,False,8518.370734927204,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-164.0,0.0005616472374810237,0.0,True,False,False,5816.472374810238,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
